line,label
transport input ssh,ssh_enabled:true
ip ssh version 2,ssh_enabled:true
ip ssh version 1,ssh_enabled:true
ip ssh time-out 60,ssh_enabled:true
set system services ssh,ssh_enabled:true
transport input ssh only,ssh_enabled:true
no ip ssh,ssh_enabled:false
ip ssh disable,ssh_enabled:false
transport input telnet,telnet_enabled:true
transport input ssh telnet,telnet_enabled:true
transport input telnet ssh,telnet_enabled:true
transport input all,telnet_enabled:true
no transport input telnet,telnet_enabled:false
transport input none,telnet_enabled:false
no telnet,telnet_enabled:false
set deviceconfig system service disable-telnet yes,telnet_enabled:false
logging trap informational,logging_enabled:true
logging on,logging_enabled:true
logging buffered 16384 informational,logging_enabled:true
logging host 10.0.0.5,logging_enabled:true
logging enable,logging_enabled:true
service timestamps log datetime,logging_enabled:true
service timestamps debug datetime msec,logging_enabled:true
service timestamps log datetime msec,logging_enabled:true
set system syslog file messages any critical,logging_enabled:true
set system syslog file messages authorization info,logging_enabled:true
no logging on,logging_enabled:false
no logging trap,logging_enabled:false
banner motd ^Authorized access only^,banner_configured:true
banner login ^Unauthorized access prohibited^,banner_configured:true
banner exec ^Welcome^,banner_configured:true
service password-encryption,password_encryption:type7
enable password 7 0822455D0A16,password_encryption:type7
username admin secret 5 $1$abcd,password_encryption:type5
enable secret 5 $1$xyz,password_encryption:type5
enable secret 5 $1$gfBh$F03uIBpoiUPOIu897$JKZ13IUh,password_encryption:type5
enable secret cisco123,password_encryption:type5
no service password-encryption,password_encryption:none
enable password xyz,password_encryption:none
enable password plaintext123,password_encryption:none
aaa new-model,unclear
access-list 101 permit tcp any any eq 22,unclear
line vty 0 4,unclear
ntp server 10.0.0.1,unclear
set system login user admin class super-user,unclear
set deviceconfig system timezone US/Pacific,unclear
no logging console,unclear
ip access-group 101 in,unclear
router ospf 1,unclear
hostname CORE-SW-01,unclear
interface GigabitEthernet0/1,unclear
snmp-server community public RO,unclear
spanning-tree mode rapid-pvst,unclear
vlan 10,unclear
ip route 0.0.0.0 0.0.0.0 10.0.0.1,unclear
clock timezone IST 5 30,unclear
end,unclear
!,unclear
crypto key generate rsa,unclear
version 15.2,unclear
hostname edge-router-02,unclear
login local,unclear
logging synchronous,unclear
ip ssh authentication-retries 3,unclear
aaa authentication login default group tacacs+ local,unclear
aaa authorization exec default group tacacs+ local,unclear
snmp-server host 10.0.0.5 version 2c public,unclear
ntp server 192.168.1.1,unclear
archive,unclear
log config,unclear
boot-start-marker,unclear
boot-end-marker,unclear
clock timezone UTC 1,unclear
spanning-tree mode pvst,unclear
spanning-tree extend system-id,unclear
vlan internal allocation policy ascending,unclear
interface FastEthernet0,unclear
no ip address,unclear
description Firewall eth8,unclear
switchport access vlan 2,unclear
interface Vlan1,unclear
ip address 192.168.1.4 255.255.255.0,unclear
ip default-gateway 192.168.1.1,unclear
ip http server,unclear
ip http secure-server,unclear
snmp-server community Rest RO,unclear
snmp-server community Full RW,unclear
line con 0,unclear
enable,unclear
configure terminal,unclear
interface vlan 1,unclear
